Nombre,Estado,Partido,Correo,Comisiones
Amparo Lilia Olivares Castañeda,Nuevo León,PAN,lily.olivaresc@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Federalismo y Desarrollo Municipal, Educación"
Liliana Ortiz Pérez,Puebla,PAN,liliana.ortiz@diputados.gob.mx,"Turismo, Salud, Educación"
Tania Palacios Kuri,Querétaro,PAN,tania.palacios@diputados.gob.mx,"Igualdad de Género, Atención a Grupos Vulnerables, Turismo"
Francisco Pelayo Covarrubias,Baja California,PAN,francisco.pelayo@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Pesca, Infraestructura"
Víctor Manuel Pérez Díaz,Nuevo León,PAN,manuel.perez@diputados.gob.mx,"Economía Social y Fomento del Cooperativismo, Derechos Humanos, Comunicaciones y Transportes"
Verónica Pérez Herrera,Durango,PAN,veronica.perez@diputados.gob.mx,"Transparencia y Anticorrupción, Salud, Hacienda y Crédito Público"
Claudia Quiñones Garrido,Veracruz,PAN,claudia.quinones@diputados.gob.mx,"Derechos de la Niñez y Adolescencia, Pueblos Indígenas y Afromexicanos, Ganadería"
Éctor Jaime Ramírez Barba,Guanajuato,PAN,ector.ramirez@diputados.gob.mx,"Transparencia y Anticorrupción, Seguridad Social, Salud"
Julen Rementería Del Puerto,Veracruz,PAN,julen.rementeria@diputados.gob.mx,Vigilancia de la Auditoría Superior de la Federación
César Augusto Rendón García,Tamaulipas,PAN,cesar.rendon@diputados.gob.mx,"Relaciones Exteriores, Hacienda y Crédito Público, Ciencia, Tecnología e Innovación"
Diego Angel Rodríguez Barroso,Guanajuato,PAN,diego.rodriguez@diputados.gob.mx,"Presupuesto y Cuenta Pública, Juventud, Asuntos Migratorios"
María Isabel Rodríguez Heredia,Yucatán,PAN,isabel.rodriguez@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Educación, Bienestar"
Luis Agustín Rodríguez Torres,Sonora,PAN,agustin.rodriguez@diputados.gob.mx,"Ganadería, Asuntos Frontera Norte, Régimen, Reglamentos y Prácticas Parlamentarias"
José Alfonso Rubalcava Jiménez,Aguascalientes,PAN,jose.rubalcava@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Justicia, Infraestructura"
Paulina Rubio Fernández,Jalisco,PAN,paulina.rubio@diputados.gob.mx,diversas comisiones legislativas
Miguel Ángel Salim Alle,Guanajuato,PAN,miguel.salim@diputados.gob.mx,"Zonas Metropolitanas, Régimen, Reglamentos y Prácticas Parlamentarias, Economía, Comercio y Competitividad"
Ernesto Sánchez Rodríguez,Quintana Roo,PAN,ernesto.sanchez@diputados.gob.mx,"Transparencia y Anticorrupción, Economía, Comercio y Competitividad, Asuntos Frontera Sur"
Roberto Sosa Pichardo,Querétaro,PAN,roberto.sosa@diputados.gob.mx,"Turismo, Deporte, Bienestar"
Armando Tejeda Cid,Michoacán,PAN,armando.tejeda@diputados.gob.mx,"Vivienda, Reforma Política-Electoral, Presupuesto y Cuenta Pública"
Héctor Saúl Téllez Hernández,Ciudad de México,PAN,hectorsaul.tellez@diputados.gob.mx,"Transparencia y Anticorrupción, Presupuesto y Cuenta Pública, Bienestar"
Marcelo De Jesús Torres Cofiño,Coahuila,PAN,marcelo.torres@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Gobernación y Población, Economía, Comercio y Competitividad"
Fernando Torres Graciano,Guanajuato,PAN,fernando.torres@diputados.gob.mx,"Reforma Política-Electoral, Puntos Constitucionales, Gobernación y Población"
Eva María Vásquez Hernández,Baja California,PAN,eva.vasquez@diputados.gob.mx,"Hacienda y Crédito Público, Gobernación y Población, Desarrollo Urbano y Ordenamiento Territorial"
Alonso De Jesús Vázquez Jiménez,Jalisco,PAN,alonso.vazquez@diputados.gob.mx,"Protección Civil y Prevención de Desastres, Ganadería, Educación"
César Augusto Verástegui Ostos,Tamaulipas,PAN,cesar.verastegui@diputados.gob.mx,"Marina, Ganadería, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Margarita Ester Zavala Gómez Del Campo,Ciudad de México,PAN,margarita.zavala@diputados.gob.mx,"Presupuesto y Cuenta Pública, Defensa Nacional, Justicia"
Anabel Acosta Islas,Sonora,PVEM,anabel.acosta@diputados.gob.mx,"Energía, Deporte, Ciencia, Tecnología e Innovación"
Adolfo Alatriste Cantú,Puebla,PVEM,adolfo.alatriste@diputados.gob.mx,"Seguridad Ciudadana, Pueblos Indígenas y Afromexicanos, Asuntos Migratorios"
Ricardo Astudillo Suárez,Querétaro,PVEM,ricardo.astudillo@diputados.gob.mx,"Puntos Constitucionales, Presupuesto y Cuenta Pública, Energía"
Eruviel Ávila Villegas,Estado de México,PVEM,eruviel.avila@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Ciencia, Tecnología e Innovación"
Alejandro Avilés Álvarez,Oaxaca,PVEM,alejandro.aviles@diputados.gob.mx,"Jurisdiccional, Gobernación y Población, Desarrollo Urbano y Ordenamiento Territorial"
Oscar Bautista Villegas,San Luis Potosí,PVEM,oscar.bautista@diputados.gob.mx,"Presupuesto y Cuenta Pública, Vivienda, Recursos Hidráulicos, Agua Potable y Saneamiento"
Gabriela Benavides Cobos,Colima,PVEM,gabriela.benavides@diputados.gob.mx,"Trabajo y Previsión Social, Marina, Medio Ambiente y Recursos Naturales"
Raúl Bolaños-Cacho Cué,Oaxaca,PVEM,raul.bolanos@diputados.gob.mx,diversas comisiones legislativas
José Braña Mojica,Tamaulipas,PVEM,jose.brana@diputados.gob.mx,"Ganadería, Deporte, Bienestar"
Ma. Del Carmen Cabrera Lagunas,Guerrero,PVEM,madelcarmen.cabrera@diputados.gob.mx,"Presupuesto y Cuenta Pública, Pesca, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Carlos Enrique Canturosas Villarreal,Tamaulipas,PVEM,carlos.canturosas@diputados.gob.mx,"Seguridad Ciudadana, Hacienda y Crédito Público, Gobernación y Población"
Liliana Carbajal Méndez,Estado de México,PVEM,liliana.carbajal@diputados.gob.mx,"Federalismo y Desarrollo Municipal, Bienestar, Justicia"
Juan Luis Carrillo Soberanis,Quintana Roo,PVEM,juan.carrillo@diputados.gob.mx,"Puntos Constitucionales, Presupuesto y Cuenta Pública, Marina"
Manuel Alejandro Cota Cárdenas,Baja California Sur,PVEM,manuel.cota@diputados.gob.mx,"Vivienda, Turismo, Medio Ambiente y Recursos Naturales"
Fatima Almendra Cruz Peláez,Puebla,PVEM,fatima.cruz@diputados.gob.mx,"Justicia, Relaciones Exteriores, Movilidad"
Jesús Martín Cuanalo Araujo,Estado de México,PVEM,jesus.cuanalo@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Medio Ambiente y Recursos Naturales, Desarrollo Urbano y Ordenamiento Territorial"
Héctor Alfonso De La Garza Villarreal,Nuevo León,PVEM,hector.delagarza@diputados.gob.mx,"Gobernación y Población, Energía, Asuntos Frontera Norte"
Marco Antonio De La Mora Torreblanca,Guerrero,PVEM,marco.delamora@diputados.gob.mx,"Relaciones Exteriores, Recursos Hidráulicos, Agua Potable y Saneamiento, Presupuesto y Cuenta Pública"
Casandra Prisilla De Los Santos Flores,Tamaulipas,PVEM,casandra.delossantos@diputados.gob.mx,"Salud, Pesca, Atención a Grupos Vulnerables"
Felipe Miguel Delgado Carrillo,Ciudad de México,PVEM,felipe.delgado@diputados.gob.mx,"Defensa Nacional, Bienestar, Justicia"
José Luis Durán Reveles,Estado de México,PVEM,joseluis.duran@diputados.gob.mx,"Radio y Televisión, Federalismo y Desarrollo Municipal, Comunicaciones y Transportes"
Mayra Espino Suárez,Baja California,PVEM,mayra.espino@diputados.gob.mx,"Seguridad Social, Movilidad, Igualdad de Género, Cambio Climático y Sostenibilidad"
Nayeli Arlen Fernández Cruz,Ciudad de México,PVEM,nayeli.fernandez@diputados.gob.mx,diversas comisiones legislativas
José Luis Fernández Martínez,San Luis Potosí,PVEM,joseluis.fernandez@diputados.gob.mx,"Reforma Política-Electoral, Puntos Constitucionales, Zonas Metropolitanas"
Celia Esther Fonseca Galicia,Ciudad de México,PVEM,celia.fonseca@diputados.gob.mx,"Transparencia y Anticorrupción, Seguridad Social, Federalismo y Desarrollo Municipal"
María Graciela Gaitán Díaz,San Luis Potosí,PVEM,maria.gaitan@diputados.gob.mx,"Salud, Educación, Derechos Humanos"
José Antonio Gali López,Puebla,PVEM,jose.gali@diputados.gob.mx,"Zonas Metropolitanas, Economía, Comercio y Competitividad, Deporte"
Fausto Gallardo García,Baja California,PVEM,fausto.gallardo@diputados.gob.mx,"Marina, Medio Ambiente y Recursos Naturales, Energía"
Ricardo Gallardo Juárez,San Luis Potosí,PVEM,ricardo.gallardo@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Ganadería"
Deliamaria Gonzalez Flandez,Chiapas,PVEM,deliamaria.gonzalez@diputados.gob.mx,"Derechos de la Niñez y Adolescencia, Asuntos Migratorios, Asuntos Frontera Sur"
Carlos Alberto Guevara Garza,Nuevo León,PVEM,alberto.guevara@diputados.gob.mx,"Puntos Constitucionales, Salud, Educación"
Denisse Guzmán González,Veracruz,PVEM,denisse.guzman@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Hacienda y Crédito Público, Comunicaciones y Transportes"
José Luis Hernández Pérez,Estado de México,PVEM,jose.hernandez@diputados.gob.mx,"Desarrollo Urbano y Ordenamiento Territorial, Comunicaciones y Transportes, Atención a Grupos Vulnerables"
Blanca Estela Hernández Rodríguez,Veracruz,PVEM,blanca.hernandez@diputados.gob.mx,"Ganadería, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria, Bienestar"
Javier Octavio Herrera Borunda,Veracruz,PVEM,javier.herrera@diputados.gob.mx,"Transparencia y Anticorrupción, Régimen, Reglamentos y Prácticas Parlamentarias, Vigilancia de la Auditoría Superior de la Federación"
Azucena Huerta Romero,Estado de México,PVEM,azucena.huerta@diputados.gob.mx,"Educación, Recursos Hidráulicos, Agua Potable y Saneamiento, Juventud"
Hilda Magdalena Licerio Valdes,Coahuila,PVEM,hilda.licerio@diputados.gob.mx,"Salud, Seguridad Social, Educación"
Mario Alberto López Hernández,Tamaulipas,PVEM,alberto.lopez@diputados.gob.mx,"Asuntos Frontera Norte, Presupuesto y Cuenta Pública, Hacienda y Crédito Público"
Carlos Arturo Madrazo Silva,Ciudad de México,PVEM,carlos.a.madrazo@diputados.gob.mx,"Seguridad Ciudadana, Gobernación y Población, Justicia"
Ricardo Madrid Pérez,Ciudad de México,PVEM,ricardo.madrid@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Recursos Hidráulicos, Agua Potable y Saneamiento, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Ivan Marin Rangel,Estado de México,PVEM,ivan.marin@diputados.gob.mx,"Vivienda, Desarrollo Urbano y Ordenamiento Territorial, Bienestar"
María Luisa Mendoza Mondragón,Estado de México,PVEM,marialuisa.mendoza@diputados.gob.mx,"Relaciones Exteriores, Justicia, Educación"
Luis Enrique Miranda Barrera,Estado de México,PVEM,luis.miranda@diputados.gob.mx,"Juventud, Infraestructura, Economía, Comercio y Competitividad"
María Del Carmen Nava García,Guerrero,PVEM,maria.nava@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Movilidad, Atención a Grupos Vulnerables"
Ma. Leonor Noyola Cervantes,San Luis Potosí,PVEM,leonor.noyola@diputados.gob.mx,"Seguridad Ciudadana, Derechos Humanos, Atención a Grupos Vulnerables"
Ernesto Núñez Aguilar,Michoacán,PVEM,ernesto.nunez@diputados.gob.mx,"Medio Ambiente y Recursos Naturales, Infraestructura, Hacienda y Crédito Público"
Héctor Pedroza Jiménez,Estado de México,PVEM,hector.pedroza@diputados.gob.mx,"Marina, Hacienda y Crédito Público, Defensa Nacional"
Alejandro Pérez Cuéllar,Chihuahua,PVEM,alejandro.perez@diputados.gob.mx,"Movilidad, Asuntos Frontera Norte"
Carlos Alberto Puente Salas,Zacatecas,PVEM,carlos.puente@diputados.gob.mx,"Relaciones Exteriores, Reforma Política-Electoral"
Jonathan Puertos Chimalhua,Veracruz,PVEM,jonathan.puertos@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Infraestructura, Asuntos Migratorios"
Luis Orlando Quiroga Treviño,Nuevo León,PVEM,luis.quiroga@diputados.gob.mx,"Energía, Comunicaciones y Transportes, Ciencia, Tecnología e Innovación"
Antonio De Jesús Ramírez Ramos,Jalisco,PVEM,antoniodej.ramirez@diputados.gob.mx,"Zonas Metropolitanas, Educación, Comunicaciones y Transportes"
Ciria Yamile Salomón Durán,Hidalgo,PVEM,yamile.salomon@diputados.gob.mx,"Turismo, Pueblos Indígenas y Afromexicanos, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Claudia Sánchez Juárez,Estado de México,PVEM,claudia.sanchez@diputados.gob.mx,"Vivienda, Defensa Nacional, Atención a Grupos Vulnerables"
Ana Erika Santana González,Baja California,PVEM,ana.santana@diputados.gob.mx,"Puntos Constitucionales, Gobernación y Población, Cultura y Cinematografía"
Julio Javier Scherer Pareyón,Oaxaca,PVEM,julio.scherer@diputados.gob.mx,"Seguridad Ciudadana, Relaciones Exteriores, Economía, Comercio y Competitividad"
Ruth Maricela Silva Andraca,Ciudad de México,PVEM,ruth.silva@diputados.gob.mx,"Jurisdiccional, Puntos Constitucionales, Cambio Climático y Sostenibilidad"
Karina Alejandra Trujillo Trujillo,Chiapas,PVEM,karina.trujillo@diputados.gob.mx,"Turismo, Igualdad de Género, Asuntos Frontera Sur"
Juan Carlos Valladares Eichelmann,San Luis Potosí,PVEM,juan.valladares@diputados.gob.mx,"Relaciones Exteriores, Energía, Economía, Comercio y Competitividad"
Gerardo Villarreal Solis,Durango,PVEM,gerardo.villarreal@diputados.gob.mx,"Infraestructura, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria, Ciencia, Tecnología e Innovación"
Jorge Luis Villatoro Osorio,Chiapas,PVEM,jorge.villatoro@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Transparencia y Anticorrupción, Asuntos Frontera Sur"
Cindy Winkler Trujillo,Morelos,PVEM,cindy.winkler@diputados.gob.mx,"Seguridad Social, Presupuesto y Cuenta Pública, Hacienda y Crédito Público"
Lilia Aguilar Gil,Chihuahua,PT,lilia.aguilar@diputados.gob.mx,"Jurisdiccional, Vivienda, Puntos Constitucionales, Justicia"
José Alejandro Aguilar López,Tlaxcala,PT,jalejandro.aguilar@diputados.gob.mx,"Economía, Comercio y Competitividad, Defensa Nacional, Cultura y Cinematografía"
Roberto Armando Albores Gleason,Chiapas,PT,roberto.albores@diputados.gob.mx,"Turismo, Hacienda y Crédito Público, Infraestructura"
Diana Karina Barreras Samaniego,Sonora,PT,diana.barreras@diputados.gob.mx,"Relaciones Exteriores, Derechos de la Niñez y Adolescencia, Justicia"
José Alberto Benavides Castañeda,Ciudad de México,PT,jose.benavides@diputados.gob.mx,"Cambio Climático y Sostenibilidad, Presupuesto y Cuenta Pública, Economía, Comercio y Competitividad"
Mary Carmen Bernal Martínez,Michoacán,PT,mary.bernal@diputados.gob.mx,"Gobernación y Población, Puntos Constitucionales, Jurisdiccional, Justicia"
Diana Castillo Gabino,Estado de México,PT,diana.castillo@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Medio Ambiente y Recursos Naturales, Derechos Humanos"
Jesús Roberto Corral Ordóñez,Chihuahua,PT,jesus.corral@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Deporte, Bienestar"
Martha Aracely Cruz Jiménez,Oaxaca,PT,martha.cruz@diputados.gob.mx,"Salud, Pueblos Indígenas y Afromexicanos, Cambio Climático y Sostenibilidad"
María Isidra De La Luz Rivas,Ciudad de México,PT,maria.delaluz@diputados.gob.mx,"Asuntos Migratorios, Cambio Climático y Sostenibilidad, Relaciones Exteriores"
Ana Luisa Del Muro García,Zacatecas,PT,ana.delmuro@diputados.gob.mx,"Igualdad de Género, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria, Comunicaciones y Transportes"
Luis Armando Díaz,Baja California Sur,PT,luis.armando@diputados.gob.mx,"Pesca, Marina, Hacienda y Crédito Público"
Greycy Marian Durán Alarcón,Chihuahua,PT,greycy.duran@diputados.gob.mx,"Seguridad Ciudadana, Salud, Juventud"
Olga Juliana Elizondo Guerra,Tamaulipas,PT,olga.elizondo@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Energía, Atención a Grupos Vulnerables"
Nora Yessica Merino Escamilla,Puebla,PT,nora.escamilla@diputados.gob.mx,"Transparencia y Anticorrupción, Vigilancia de la Auditoría Superior de la Federación, Asuntos Migratorios"
Francisco Amadeo Espinosa Ramos,Chiapas,PT,francisco.espinosa@diputados.gob.mx,"Presupuesto y Cuenta Pública, Educación, Asuntos Frontera Sur"
Ramón Angel Flores Robles,Sonora,PT,ramon.flores@diputados.gob.mx,"Pesca, Marina, Energía"
Patricia Galindo Alarcón,Estado de México,PT,patricia.galindo@diputados.gob.mx,"Zonas Metropolitanas, Turismo, Desarrollo Urbano y Ordenamiento Territorial"
Irma Yordana Garay Loredo,Tlaxcala,PT,irma.garay@diputados.gob.mx,"Igualdad de Género, Puntos Constitucionales, Derechos de la Niñez y Adolescencia"
Margarita García García,Oaxaca,PT,margarita.garcia@diputados.gob.mx,"Transparencia y Anticorrupción, Trabajo y Previsión Social, Salud"
Jesús Fernando García Hernández,Sinaloa,PT,jesus.garcia@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Pesca, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
José Gloria López,Nuevo León,PT,jose.gloria@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Infraestructura, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Amarante Gonzalo Gómez Alarcón,Jalisco,PT,amarante.gomez@diputados.gob.mx,"Seguridad Social, Economía Social y Fomento del Cooperativismo, Derechos Humanos"
Adrián González Naveda,Veracruz,PT,adrian.gonzalez@diputados.gob.mx,"Radio y Televisión, Gobernación y Población, Bienestar"
Santiago González Soto,Nuevo León,PT,santiago.gonzalez@diputados.gob.mx,"Economía, Comercio y Competitividad, Cultura y Cinematografía, Ciencia, Tecnología e Innovación"
Francisco Javier Guízar Macías,Jalisco,PT,francisco.guizar@diputados.gob.mx,"Seguridad Ciudadana, Hacienda y Crédito Público, Defensa Nacional"
Olga Lidia Herrera Natividad,Nuevo León,PT,olga.herrera@diputados.gob.mx,"Federalismo y Desarrollo Municipal, Economía Social y Fomento del Cooperativismo, Comunicaciones y Transportes"
Rosalia León Rosas,Aguascalientes,PT,rosalia.leon@diputados.gob.mx,"Protección Civil y Prevención de Desastres, Educación, Ciencia, Tecnología e Innovación"
Vanessa López Carrillo,Michoacán,PT,vanessa.lopez@diputados.gob.mx,"Turismo, Igualdad de Género, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
José Antonio López Ruíz,Puebla,PT,antonio.lopez@diputados.gob.mx,"Vivienda, Medio Ambiente y Recursos Naturales, Hacienda y Crédito Público"
José Alejandro López Sánchez,Oaxaca,PT,jose.lopez@diputados.gob.mx,"Turismo, Pueblos Indígenas y Afromexicanos, Bienestar"
Emilio Manzanilla Téllez,Estado de México,PT,emilio.manzanilla@diputados.gob.mx,"Seguridad Ciudadana, Federalismo y Desarrollo Municipal, Comunicaciones y Transportes"
Maribel Martínez Ruiz,Oaxaca,PT,mmartinez.ruiz@diputados.gob.mx,"Reforma Política-Electoral, Cultura y Cinematografía, Vivienda"
Luis Enrique Martínez Ventura,Estado de México,PT,enrique.martinez@diputados.gob.mx,"Energía, Desarrollo Urbano y Ordenamiento Territorial, Comunicaciones y Transportes"
Ricardo Sóstenes Mejía Berdeja,Coahuila,PT,ricardo.mejia@diputados.gob.mx,"Energía, Transparencia y Anticorrupción, Justicia"
José Luis Montalvo Luna,Estado de México,PT,jose.montalvo@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Movilidad, Economía Social y Fomento del Cooperativismo"
Carlos Morelos Rodríguez,Chiapas,PT,carlos.morelos@diputados.gob.mx,"Infraestructura, Ganadería, Asuntos Frontera Sur"
Brígido Ramiro Moreno Hernández,Coahuila,PT,brigido.moreno@diputados.gob.mx,"Radio y Televisión, Asuntos Migratorios, Asuntos Frontera Norte"
Magdalena Del Socorro Núñez Monreal,Ciudad de México,PT,magdalena.nunez@diputados.gob.mx,diversas comisiones legislativas
Gerardo Olivares Mejía,Guerrero,PT,gerardo.olivares@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Salud, Educación"
Jorge Armando Ortiz Rodríguez,Nayarit,PT,jorge.ortiz@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Presupuesto y Cuenta Pública, Desarrollo Urbano y Ordenamiento Territorial"
Ana Karina Rojo Pimentel,Ciudad de México,PT,ana.rojo@diputados.gob.mx,"Trabajo y Previsión Social, Relaciones Exteriores, Bienestar"
José Luis Sánchez González,Jalisco,PT,jluis.sanchez@diputados.gob.mx,"Vivienda, Trabajo y Previsión Social, Gobernación y Población"
Reginaldo Sandoval Flores,Michoacán,PT,reginaldo.sandoval@diputados.gob.mx,"Presupuesto y Cuenta Pública, Hacienda y Crédito Público, Energía"
Wblester Santiago Pineda,Estado de México,PT,wblester.santiago@diputados.gob.mx,"Defensa Nacional, Infraestructura, Educación"
José Luis Téllez Marín,Michoacán,PT,joseluis.tellez@diputados.gob.mx,"Medio Ambiente y Recursos Naturales, Ganadería, Educación"
Javier Vázquez Calixto,Hidalgo,PT,javier.vazquez@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Transparencia y Anticorrupción, Seguridad Ciudadana"
Pedro Vázquez González,Ciudad de México,PT,pedro.vazquez@diputados.gob.mx,"Reforma Política-Electoral, Régimen, Reglamentos y Prácticas Parlamentarias, Relaciones Exteriores"
Luis Fernando Vilchis Contreras,Estado de México,PT,luis.vilchis@diputados.gob.mx,"Movilidad, Diversidad, Seguridad Ciudadana"
Laura Irais Ballesteros Mancilla,Querétaro,MC,laura.ballesteros@diputados.gob.mx,diversas comisiones legislativas
Gustavo Adolfo De Hoyos Walther,Baja California,MC,gustavo.dehoyos@diputados.gob.mx,"Hacienda y Crédito Público, Energía, Economía Social y Fomento del Cooperativismo"
Francisco Javier Farias Bailon,Campeche,MC,francisco.farias@diputados.gob.mx,"Turismo, Pesca, Federalismo y Desarrollo Municipal"
Patricia Flores Elizondo,Durango,MC,patricia.flores@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Hacienda y Crédito Público, Energía"
Eduardo Gaona Domínguez,Nuevo León,MC,eduardo.gaona@diputados.gob.mx,"Presupuesto y Cuenta Pública, Hacienda y Crédito Público, Asuntos Frontera Norte"
María De Fátima García León,Oaxaca,MC,mariadefatima.garcia@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Derechos de la Niñez y Adolescencia, Bienestar"
Sergio Gil Rullán,Veracruz,MC,sergio.gil@diputados.gob.mx,"Zonas Metropolitanas, Reforma Política-Electoral, Marina"
Tecutli José Guadalupe Gómez Villalobos,Jalisco,MC,tecutli.gomez@diputados.gob.mx,"Turismo, Ganadería, Comunicaciones y Transportes"
Amancay González Franco,Puebla,MC,amancay.gonzalez@diputados.gob.mx,"Salud, Relaciones Exteriores, Educación"
Laura Hernández García,Estado de México,MC,laura.hernandez@diputados.gob.mx,"Puntos Constitucionales, Diversidad, Derechos Humanos"
Mariana Guadalupe Jiménez Zamora,Tlaxcala,MC,mariana.jimenez@diputados.gob.mx,"Relaciones Exteriores, Igualdad de Género, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Paola Michell Longoria López,Nuevo León,MC,paola.longoria@diputados.gob.mx,"Relaciones Exteriores, Juventud, Deporte"
Jorge Alfredo Lozoya Santillán,Chihuahua,MC,jorge.lozoya@diputados.gob.mx,"Infraestructura, Defensa Nacional, Cultura y Cinematografía"
Hugo Manuel Luna Vázquez,Jalisco,MC,hugo.luna@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Movilidad, Marina"
Patricia Mercado Castro,Sonora,MC,patricia.mercado@diputados.gob.mx,"Trabajo y Previsión Social, Seguridad Social, Movilidad"
Anayeli Muñoz Moreno,Aguascalientes,MC,anayeli.munoz@diputados.gob.mx,"Igualdad de Género, Comunicaciones y Transportes, Ciencia, Tecnología e Innovación"
Gloria Elizabeth Núñez Sánchez,Nayarit,MC,gloria.nunez@diputados.gob.mx,"Vivienda, Presupuesto y Cuenta Pública, Economía, Comercio y Competitividad"
Ivonne Aracelly Ortega Pacheco,Yucatán,MC,ivonne.ortega@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Seguridad Ciudadana, Régimen, Reglamentos y Prácticas Parlamentarias, Jurisdiccional"
Gildardo Pérez Gabino,Estado de México,MC,gildardo.perez@diputados.gob.mx,"Transparencia y Anticorrupción, Bienestar, Asuntos Migratorios"
Gibrán Ramírez Reyes,Ciudad de México,MC,gibran.ramirez@diputados.gob.mx,"Seguridad Social, Educación, Cultura y Cinematografía"
Irais Virginia Reyes De La Torre,Nuevo León,MC,irais.reyes@diputados.gob.mx,"Transparencia y Anticorrupción, Puntos Constitucionales, Medio Ambiente y Recursos Naturales"
Juan Armando Ruiz Hernández,Estado de México,MC,juan.ruiz@diputados.gob.mx,"Desarrollo Urbano y Ordenamiento Territorial, Deporte, Atención a Grupos Vulnerables"
Claudia Ruiz Massieu Salinas,Ciudad de México,MC,claudia.ruizmassieu@diputados.gob.mx,"Puntos Constitucionales, Radio y Televisión, Presupuesto y Cuenta Pública"
Claudia Gabriela Salas Rodríguez,Jalisco,MC,claudia.salas@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Energía, Zonas Metropolitanas"
Juan Ignacio Samperio Montaño,Estado de México,MC,juan.samperio@diputados.gob.mx,"Federalismo y Desarrollo Municipal, Educación, Desarrollo Urbano y Ordenamiento Territorial"
Miguel Ángel Sánchez Rivera,Nuevo León,MC,miguelangel.sanchez@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Gobernación y Población, Cambio Climático y Sostenibilidad"
Pablo Vázquez Ahued,Jalisco,MC,pablo.vazquez@diputados.gob.mx,"Reforma Política-Electoral, Defensa Nacional, Justicia"
Juan Ignacio Zavala Gutiérrez,Ciudad de México,MC,juan.zavala@diputados.gob.mx,"Seguridad Ciudadana, Salud, Justicia"
Guadalupe Araceli Mendoza Arias,Michoacán,INDEPENDIENTE / OTRO,araceli.mendoza@diputados.gob.mx,diversas comisiones legislativas
